Code  ┃Name                 ┃City       ┃University ┃Branches   ┃Capacity   ┃Price      ┃Threshold  ┃Observations ┃Coefficients
-------------------------------------------------------------------------------------------------------------------------------------------------------
41029 ┃Administracio_d'E... ┃Mataro     ┃UPF        ┃CSJ        ┃70         ┃5990       ┃7.480000   ┃17 ┃0,0,2,0,0,0,0,2,0...

41036 ┃Administracio_d'E... ┃Mataro     ┃UPF        ┃CSJ        ┃35         ┃6405       ┃7.206000   ┃17 ┃0,0,2,0,0,0,0,2,0...

41041 ┃Administracio_d'E... ┃Mataro     ┃UPF        ┃CSJ        ┃60         ┃6170       ┃8.440000   ┃04,04-17 ┃2,2,2,0,0,0,2,2,1...

41035 ┃Administracio_d'E... ┃Mataro     ┃UPF        ┃CSJ        ┃40         ┃6210       ┃5.000000   ┃04,04-17 ┃1,1,2,0,0,0,0,2,2...

11033 ┃Administracio_i_D... ┃Barcelona  ┃UB         ┃CSJ        ┃780        ┃0          ┃9.636000   ┃16 ┃0,0,2,0,0,0,0,2,0...

41008 ┃Administracio_i_D... ┃Barcelona  ┃UPF        ┃CSJ        ┃170        ┃0          ┃11.316000  ┃21 ┃0,0,2,0,0,0,0,2,0...

71063 ┃Administracio_i_D... ┃Barcelona  ┃URV        ┃CSJ        ┃80         ┃7050       ┃5.000000   ┃17 ┃0,0,2,0,0,0,0,2,0...

21014 ┃Administracio_i_D... ┃Cerdany... ┃UAB        ┃CSJ        ┃160        ┃0          ┃10.138000  ┃16 ┃0,0,2,0,0,0,0,2,0...

21099 ┃Administracio_i_D... ┃Cerdany... ┃UAB        ┃CSJ        ┃70         ┃0          ┃10.416000  ┃16 ┃0,0,2,0,0,0,0,2,0...

81003 ┃Administracio_i_D... ┃Girona     ┃UdG        ┃CSJ        ┃100        ┃0          ┃9.446000   ┃16 ┃0,0,2,0,0,0,0,2,0...

61069 ┃Administracio_i_D... ┃Igualada   ┃UdL        ┃CSJ        ┃40         ┃0          ┃8.464000   ┃16 ┃0,0,2,0,0,0,0,2,0...

61003 ┃Administracio_i_D... ┃Lleida     ┃UdL        ┃CSJ        ┃120        ┃0          ┃7.634000   ┃16 ┃0,0,2,0,0,0,0,2,0...

