Notes de tall 1a assignació Juny 2024 (11/07/24),Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Codi,Nom del centre d'estudi i població,SiglesUniversitat,PAU /CFGS,Més grans de25 anys,Titulatsuniversitaris,Més grans de45 anys
Ordre alfabètic per centre d'estudi,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ESTUDIS DE GRAU I TÍTOLS PROPIS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Codi,Nom del centre d'estudi i població,SiglesUniversitat,PAU /CFGS,Més grans de25 anys,Titulatsuniversitaris,Més grans de45 anys,N/A,N/A,N/A,N/A,N/A,N/A,N/A
41029,Administració d'Empreses i Gestió de la Innovació "Tecnocampus" (Mataró),UPF,7 480,5 000,5 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
41036,Administració d'Empreses i Gestió de la Innovació "Tecnocampus" (docència enAnglès) (Mataró),UPF,7 206,5 000,5 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
41041,Administració d'Empreses i Gestió de la Innovació / Màrqueting i ComunitatsDigitals "Tecnocampus" (simultaneïtat) (Mataró),UPF,8 440,5 000,5 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
41035,Administració d'Empreses i Gestió de la Innovació / Turisme i Gestió del Lleure"Tecnocampus" (simultaneïtat) (Mataró),UPF,5 000,5 000,5 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11033,Administració i Direcció d'Empreses (Barcelona),UB,9 636,5 000,5 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
41008,Administració i Direcció d'Empreses (Barcelona),UPF,11 316,5 000,5 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
71063,Administració i Direcció d'Empreses "IGEMA" (Barcelona),URV,5 000,5 000,5 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
21014,Administració i Direcció d'Empreses (Cerdanyola del Vallès),UAB,10 138,5 000,5 000,7 333,N/A,N/A,N/A,N/A,N/A,N/A,N/A
21099,Administració i Direcció d'Empreses (docència en Anglès) (Cerdanyola del Vallès),UAB,10 416,5 000,5 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
81003,Administració i Direcció d'Empreses (Girona),UdG,9 446,5 000,5 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
61069,Administració i Direcció d'Empreses (Igualada),UdL,8 464,5 000,5 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
61003,Administració i Direcció d'Empreses (Lleida),UdL,7 634,5 000,5 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
91042,Administració i Direcció d'Empreses (Campus Manresa) (Manresa),UVic-UCC,5 000,5 000,5 000,6 333,N/A,N/A,N/A,N/A,N/A,N/A,N/A
