Unnamed: 0,Centres d'estudi,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Codi,Nom del centre d'estudi,Universitat,Població,Tipusde centre,Placesorientatives,Preuorientatiu,Observacions
N/A,Codi,Nom del centre d'estudi,Universitat,Població,Tipusde centre,Placesorientatives,Preuorientatiu,Observacions,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,41029,"Administració d'Empreses i Gestió de la Innovació ""Tecnocampus""",UPF,Mataró,U. Públ. CA,70,5.990 €,17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,41036,"Administració d'Empreses i Gestió de la Innovació ""Tecnocampus"" (docènciaen Anglès)",UPF,Mataró,U. Públ. CA,35,6.405 €,17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,41041,"Administració d'Empreses i Gestió de la Innovació / Màrqueting i ComunitatsDigitals ""Tecnocampus"" (simultaneïtat)",UPF,Mataró,U. Públ. CA,60,6.170 €,04-17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,41035,"Administració d'Empreses i Gestió de la Innovació / Turisme i Gestió delLleure ""Tecnocampus"" (simultaneïtat)",UPF,Mataró,U. Públ. CA,40,6.210 €,04-17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,11033,Administració i Direcció d'Empreses,UB,Barcelona,U. Públ.,780,N/A,16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,41008,Administració i Direcció d'Empreses,UPF,Barcelona,U. Públ.,170,N/A,21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,71063,"Administració i Direcció d'Empreses ""IGEMA""",URV,Barcelona,U. Públ. CA,80,7.050 €,17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,21014,Administració i Direcció d'Empreses,UAB,Cerdanyola del Vallès,U. Públ.,160,N/A,16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,21099,Administració i Direcció d'Empreses (docència en Anglès),UAB,Cerdanyola del Vallès,U. Públ.,70,N/A,16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,81003,Administració i Direcció d'Empreses,UdG,Girona,U. Públ.,100,N/A,16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,61069,Administració i Direcció d'Empreses,UdL,Igualada,U. Públ.,40,N/A,16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,61003,Administració i Direcció d'Empreses,UdL,Lleida,U. Públ.,120,N/A,16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,91042,Administració i Direcció d'Empreses (Campus Manresa),UVic-UCC,Manresa,U. Priv.,50,5.500 €,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,71002,Administració i Direcció d'Empreses,URV,Reus,U. Públ.,140,N/A,16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,71004,Administració i Direcció d'Empreses,URV,Tortosa,U. Públ.,45,N/A,16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,91003,Administració i Direcció d'Empreses,UVic-UCC,Vic,U. Priv.,60,5.473 €,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,41034,Administració i Direcció d'Empreses - Economia / Dret (agrupació desimultaneïtat),UPF,Barcelona,U. Públ.,90,N/A,12-21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,11064,Administració i Direcció d'Empreses / Dret (simultaneïtat),UB,Barcelona,U. Públ.,60,N/A,04-16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,21098,Administració i Direcció d'Empreses / Dret (simultaneïtat),UAB,Cerdanyola del Vallès,U. Públ.,80,N/A,04-16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
