Codi,Nom del centre destudi,Universitat,Branca,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
41029,Administració d'Empreses i Gestió de la Innovació "Tecnocampus",UPF,CSJ,0,0,2,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,2,2,2,0,0,0,2,0
41036,Administració d'Empreses i Gestió de la Innovació "Tecnocampus" (Docència en Anglès),UPF,CSJ,0,0,2,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,2,2,2,0,0,0,2,0
41041,Administració d'Empreses i Gestió de la Innovació / Màrqueting i Comunitats Digitals "Tecnocampus" (Simultaneïtat),UPF,CSJ,2,2,2,0,0,0,2,2,1,2,2,0,0,2,2,2,0,0,0,2,2,2,0,2,0,2,0
41035,Administració d'Empreses i Gestió de la Innovació / Turisme i Gestió del Lleure "Tecnocampus" (Simultaneïtat),UPF,CSJ,1,1,2,0,0,0,0,2,2,2,2,0,0,2,2,2,0,0,0,2,2,2,0,0,0,2,0
11033,Administració i Direcció d'Empreses,UB,CSJ,0,0,2,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,2,2,2,0,0,0,2,0
21014,Administració i Direcció d'Empreses,UAB,CSJ,0,0,2,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,2,2,2,0,0,0,2,0
21099,Administració i Direcció d'Empreses (Docència en Anglès),UAB,CSJ,0,0,2,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,2,2,2,0,0,0,2,0
61077,Administració i Direcció d'Empreses i Transformació de Negocis "Centre Universitari EAE",UdL,CSJ,0,0,2,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0
41008,Administració i Direcció d'Empreses,UPF,CSJ,0,0,2,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,2,2,2,0,0,0,2,0
61003,Administració i Direcció d'Empreses,UdL,CSJ,0,0,2,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,2,2,2,0,0,0,2,0
61069,Administració i Direcció d'Empreses (Igualada),UdL,CSJ,0,0,2,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,2,2,2,0,0,0,2,0
81003,Administració i Direcció d'Empreses,UdG,CSJ,0,0,2,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,2,2,2,0,0,0,2,0
71002,Administració i Direcció d'Empreses (Reus),URV,CSJ,0,0,2,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,2,2,2,0,0,0,2,0
71004,Administració i Direcció d'Empreses (Tortosa),URV,CSJ,0,0,2,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,2,2,2,0,0,0,2,0
71063,Administració i Direcció d'Empreses "IGEMA",URV,CSJ,0,0,2,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,2,2,2,0,0,0,2,0
91003,Administració i Direcció d'Empreses,UVic-UCC,CSJ,0,0,2,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,2,2,2,0,0,0,2,0
