Codi,Nom del centre de estudi,Població,Universitat,Tipus de centre,Places orientatives,Preu orientatiu,Observacions,PAU / CFGS,Més grans de 25 anys,Titulats universitaris,Més grans de 45 anys,Branca,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
10120,INVESTIGACIÓ PRIVADA (TÍTOL PROPI NO OFICIAL),BARCELONA,UB,U. PÚBL.,120,1.380 ,17-22,5.000,5.000,5.000,5.000,CSJ,1,1,2,0,2,1,1,2,2,1,2,1,0,1,2,2,1,1,0,2,2,2,1,1,1,1,1
11001,ANTROPOLOGIA SOCIAL I CULTURAL,BARCELONA,UB,U. PÚBL.,120,NAN,16,5.000,5.000,5.000,5.000,CSJ,0,0,0,0,0,0,0,0,0,0,2,0,1,2,2,0,0,0,0,2,2,0,0,0,0,2,0
11002,BIOLOGIA,BARCELONA,UB,U. PÚBL.,144,NAN,16,11.030,5.000,6.800,6.167,C,0,0,2,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
11003,BIOQUÍMICA,BARCELONA,UB,U. PÚBL.,60,NAN,16,11.608,5.000,7.260,5.000,C,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
11004,BIOTECNOLOGIA,BARCELONA,UB,U. PÚBL.,80,NAN,16,11.793,5.000,6.600,5.000,C,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
11005,CIÈNCIES AMBIENTALS,BARCELONA,UB,U. PÚBL.,60,NAN,16,9.232,5.000,5.000,5.000,C,0,0,2,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
11006,CIÈNCIES BIOMÈDIQUES,BARCELONA L'HOSPITALET DE LLOBREGAT,UB,U. PÚBL.,165,NAN,16,12.304,5.500,7.700,5.000,C,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
11007,CIÈNCIES DE L'ACTIVITAT FÍSICA I DE L'ESPORT,BARCELONA,UB,U. PÚBL. CA,150,NAN,16,10.309,5.438,6.530,5.333,CS,0,0,2,2,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,2,1,2,0,0,0,0,0
11008,CIÈNCIES POLÍTIQUES I DE L'ADMINISTRACIÓ,BARCELONA,UB,U. PÚBL.,100,NAN,16,8.530,5.000,6.936,5.000,CSJ,0,0,0,0,0,0,0,0,1,2,2,0,0,2,2,0,0,0,0,2,2,0,0,0,0,2,0
11010,CRIMINOLOGIA,BARCELONA,UB,U. PÚBL.,140,NAN,16,9.540,5.250,5.000,5.000,CSJ,0,0,0,2,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,2,2,0,0,0,0,2,0
